Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-1643.1666	505.88614	-868.0	-2000.0	1643.5	0.10488762	0.042204	0.21534556	0.028358884	10000	6.1855314e-07	9021.86	-0.0062065865	-4490.894	1.0921879	0.008260125	0.1341	79.0	80.71890258789062
1	-2000.0	0.0	-2000.0	-2000.0	2000.0	-28.534903	0.07777904	-27.95166	-28.580967	20000	1.3923645e-07	4727.7583	-0.004885454	-2173.8618	1.0852033	0.008863801	0.0879	79.0	157.45538592338562
2	-2000.0	0.0	-2000.0	-2000.0	2000.0	-47.27281	0.041820183	-46.80535	-47.297558	30000	2.2945405e-07	2573.5193	-0.0026336026	-1274.285	1.074219	0.01522547	0.3966	4.0	232.2092089653015
3	-1727.2	345.64398	-1178.0	-2000.0	1727.6	-62.355175	0.057357013	-61.61482	-62.394474	40000	2.1615028e-07	1282.4727	-0.004332448	-644.2016	1.0838931	0.0071602105	0.052	79.0	309.91341757774353
4	-1506.3334	362.20282	-1079.0	-2000.0	1507.0	-73.7755	0.034807343	-73.49573	-73.80413	50000	2.7656554e-08	648.2164	-0.00407203	-275.34235	1.0792007	0.008364303	0.0813	79.0	387.39697432518005
5	-2000.0	0.0	-2000.0	-2000.0	2000.0	-81.72514	0.022093873	-81.44884	-81.739395	60000	1.2758255e-06	309.08572	-0.0029228795	-189.33368	1.0802253	0.010661112	0.1862	79.0	464.35749411582947
6	-1273.7142	104.71419	-1091.0	-1399.0	1274.7142	-88.5611	0.020762362	-88.35992	-88.57811	70000	1.1396408e-08	320.5763	-0.0022002927	-13.854492	1.0788782	0.016974779	0.283	5.0	538.7052202224731
7	-901.5455	47.784294	-819.0	-980.0	902.5455	-90.6841	0.029445473	-90.49691	-90.711754	80000	-3.6239625e-09	434.10754	-0.0024124705	-1.8519897	1.0695072	0.011343849	0.1074	79.0	615.8347334861755
8	-1144.375	79.53606	-1055.0	-1298.0	1145.375	-90.04235	0.04368821	-89.40411	-90.06944	90000	1.9550324e-09	339.6564	-0.004879848	-29.804169	1.0567003	0.009548075	0.0996	79.0	693.2049767971039
9	-1922.2	155.59999	-1611.0	-2000.0	1922.4	-87.6451	14.654169	85.07541	-90.89003	100000	2.5558471e-08	347.34476	-0.006827385	-284.0881	1.0218865	0.012172439	0.1137	79.0	770.3394937515259
